"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_crpss" "Month" "Sig_Jan" "Sig_Feb" "Sig_Mar" "Sig_Apr" "Sig_Mai" "Sig_Jun" "Sig_Jul" "Sig_all"
"103.1" 0.0798795362099675 0.0564926318251108 0.0549912659479205 0.103901830605246 0.139900883474822 0.316463299553269 0.134172428977603 0.316463299553269 6 0.0729794286592347 0.103054591141198 0.110373665250759 0.121372153026619 0.126195419222939 0.096516233812183 0.0957507287836115 0.096516233812183
"103.40" 0.0910558742075739 0.0439942498646351 0.0488891887932084 0.034824925742716 0.0378411068929858 0.195321198020078 0.125419783499522 0.195321198020078 6 0.0692283838071201 0.0972522649888 0.103522103861623 0.115957850405063 0.123388073609549 0.115118500525623 0.13523965603855 0.115118500525623
"104.23" 0.0126003536011264 -0.0313591448619934 0.00790007462870568 0.0247672288644599 0.0587759358024985 0.0480547128218013 -0.0277065394693505 0.0587759358024985 5 0.0369963007081765 0.0604227591008744 0.0728511039145044 0.0853591604134909 0.11314490740764 0.0908652327972663 0.0677840474094479 0.11314490740764
"105.1" -0.0352111174852003 -0.0837254104726628 -0.0833136542088937 -0.0887852642590361 -0.416011234356419 -3.88966034541957 -9.89316341222739 -0.0352111174852003 1 0.0372636288026222 0.0534723884956243 0.062006035543226 0.115614646883589 0.155256501263931 0.56091406119711 1.16583057565384 0.0372636288026222
"107.3" -0.0375339614648484 0.00693565405390706 -0.0155596741598429 0.101078734936544 -0.0895998981585886 -0.0607991481301273 -0.177822401292808 0.101078734936544 4 0.0229521640203573 0.0265343435358714 0.0346922692222344 0.0833136833096647 0.0691213349657872 0.0329517122247544 0.0506819921727732 0.0833136833096647
"109.29" -0.0615775361421533 -0.125330543578979 -0.159555793909679 -0.169179675849974 -0.271732351818911 -0.079414428170334 -0.138083951577356 -0.0615775361421533 1 0.0819914456603739 0.106669427422668 0.125882128055641 0.147244703553497 0.184668532761995 0.138556061733105 0.171238770161475 0.0819914456603739
"109.42" -0.0800342298020482 -0.176646366814178 -0.209065462454289 -0.250940570537225 -0.377184119351949 -0.266665851375826 0.0890862221223274 0.0890862221223274 7 0.0786884712864932 0.110290194571422 0.129643407496283 0.151070686320472 0.188202241021221 0.188557473453374 0.119786605354198 0.119786605354198
"109.9" -0.109582677942281 -0.272923794992966 -0.267629594894095 -0.275146296755488 -0.305396596628621 -0.277761508263106 -0.520610186500742 -0.109582677942281 1 0.0720769207164486 0.0883879003481211 0.100891927652164 0.107996366732321 0.129095872515784 0.16908314156079 0.219674097124789 0.0720769207164486
"112.8" -0.0521221608791884 -0.115133413641104 -0.160758239075815 -0.187570018221528 -0.136928759226897 -0.104771260092093 -0.221140017163859 -0.0521221608791884 1 0.0571177522553509 0.0752759731854562 0.0783148984912639 0.10026546965959 0.109717049497646 0.118209280343469 0.126340620709464 0.0571177522553509
"12.150" 0.123589645812609 0.181194721237514 0.165535909040124 0.135938439630005 0.165684280666273 -0.350227315327929 -0.193121285361026 0.181194721237514 2 0.0444038301266193 0.0605831893555704 0.0773259219592002 0.0908276586779507 0.112121285798396 0.260536144422092 0.128033425668332 0.0605831893555704
"12.171" 0.144195894878631 0.147241177233991 0.159012493827553 0.134129059156593 0.0850448627985823 -0.00755123237991273 0.0718105789626623 0.159012493827553 3 0.0541993318322308 0.0592183998891322 0.0656376149160279 0.0791031535610006 0.116835993012437 0.081519195593715 0.0470453443677871 0.0656376149160279
"12.178" 0.051452074454585 0.0371728080149197 0.0308353225781963 -0.0011551932485665 -0.0676932682332014 -0.0082973748751507 -0.0546179172640671 0.051452074454585 1 0.0433052285319325 0.0501197857998267 0.0539569278130129 0.070485148333996 0.0932192075765169 0.0610087118792703 0.0476563270356206 0.0433052285319325
"12.192" -0.0108178559250376 0.0392908206984037 0.00522603640740715 -0.00178965925708741 0.0528422093391558 -0.0301233023839138 0.00431799860813642 0.0528422093391558 5 0.0391506737687674 0.0547205671772292 0.0738618351134475 0.0982860212070821 0.0996840464585416 0.0456559002556998 0.0459901249425983 0.0996840464585416
"12.193" 0.0509904991800357 0.100368572021204 0.124005118202575 0.0598010667067513 -0.0397672545773435 -0.106991968799989 -0.378975400153856 0.124005118202575 3 0.0506510621738927 0.0621148076066697 0.0724238486182409 0.0834300232637962 0.0873306548095119 0.0537395081171872 0.0790892137035999 0.0724238486182409
"12.286" 0.174873051587232 0.224241659519324 0.288992670423835 0.179355018999477 0.167306922315812 -1.33383449111894 -1.36615633087088 0.288992670423835 3 0.0566068684932136 0.0759727164024573 0.0763249067057945 0.113970540589846 0.142208034653731 0.303083269900222 0.122033301698988 0.0763249067057945
"12.290" 0.0356357627190576 0.0438643602298792 0.0941380261459823 0.0718086765676671 0.0197418380770283 0.101963974657125 0.0610826711380463 0.101963974657125 6 0.0487127191192465 0.0602210116897426 0.0609247431278753 0.0753925870187955 0.0891034650974207 0.101028306705456 0.0852532322560108 0.101028306705456
"12.70" 0.079697522751296 0.0569017739732531 0.0735200140489686 0.101038117573249 0.0734836175845667 0.124009854119575 -0.166954009243283 0.124009854119575 6 0.0487887578262129 0.0567796188573281 0.0570818609112988 0.056628982006867 0.0867927411124764 0.162140121268118 0.0986855058620932 0.162140121268118
"12.97" 0.00149933781207578 -0.0135513151829447 0.0182085865831456 0.0181837539419342 0.0633632824841978 -0.188690659826818 -0.169945089057905 0.0633632824841978 5 0.0434504801742859 0.0443692283785501 0.046639220287396 0.0574799244935287 0.0910549225463504 0.162560401434312 0.0670740530306436 0.0910549225463504
