"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_csi" "Month"
"48.5" 0.0714285714285714 0.222222222222222 0.25 0.344827586206897 0.285714285714286 0.272727272727273 0.230769230769231 0.344827586206897 4
"50.1" 0.405405405405405 0.394736842105263 0.388888888888889 0.5 0.5 0.516129032258065 0.214285714285714 0.516129032258065 6
"55.4" 0 0 0 0 0 0 0 0 1
"6.10" 0.0833333333333333 0.227272727272727 0.238095238095238 0.4 0.454545454545455 -1 -1 0.454545454545455 5
"62.10" 0 0.0666666666666667 0.0625 0.0526315789473684 0.0555555555555556 0.0769230769230769 0 0.0769230769230769 6
"62.5" 0.0869565217391304 0.125 0.16 0.230769230769231 0.269230769230769 0.333333333333333 0.5 0.5 7
"72.5" 0.5 0.578947368421053 0.648648648648649 0.621621621621622 0.621621621621622 0.588235294117647 0.384615384615385 0.648648648648649 3
"73.27" 0.37037037037037 0.321428571428571 0.285714285714286 0.333333333333333 0.384615384615385 0.454545454545455 0 0.454545454545455 6
"75.23" 0.574468085106383 0.604651162790698 0.634146341463415 0.651162790697674 0.651162790697674 0.548387096774194 0.375 0.651162790697674 4
"76.5" 0 0 0 0 0 0.0666666666666667 0.166666666666667 0.166666666666667 7
"77.3" 0 0 0 0 0 0 0 0 1
"78.8" 0.0384615384615385 0.115384615384615 0.133333333333333 0.1875 0.2 0.15625 0.16 0.2 5
"79.3" 0 0 0 0 0.111111111111111 0.25 0 0.25 6
"8.2" 0 0 0 0 0 0 0 0 1
"8.6" 0 0 0 0 0 0 0 0 1
"82.4" 0 0 0 0 0 0 0 0 1
"83.2" 0 0.176470588235294 0.0588235294117647 0.1875 0.176470588235294 0.214285714285714 0 0.214285714285714 6
"84.11" 0 0 0 -1 -1 -1 -1 0 1
"86.12" 0 0 0 0 0 0 -1 0 1
"87.10" 0 0 0 0 0 0 0 0 1
"88.4" 0 0.125 0.12 0.192307692307692 0.16 0.16 0.19047619047619 0.192307692307692 4
"91.2" 0 0 0 -1 -1 -1 -1 0 1
"97.1" 0 0 0 0 0 0 0 0 1
"98.4" 0 0 0 0 0.25 0.142857142857143 0 0.25 5
