"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_bss" "Month" "Sig_Jan" "Sig_Feb" "Sig_Mar" "Sig_Apr" "Sig_Mai" "Sig_Jun" "Sig_Jul" "Sig_all"
"103.1" 0.13673496907744 0.0536711775230823 0.121679953684226 0.191445939843946 0.349689824040127 0.319269889203968 -0.0493426855121406 0.349689824040127 5 0.128420218097114 0.162118874831904 0.171219339167375 0.177205229577431 0.17654375450911 0.143927938136601 0.318335152888188 0.17654375450911
"103.40" 0.172999839666506 0.141253807920475 0.18545240767463 0.133905189460745 0.208513708513709 0.292022792022792 -0.250964506172839 0.292022792022792 6 0.106208924748426 0.131303563187062 0.139317597719777 0.147989281505678 0.150663892040952 0.130431029635104 0.490612836532156 0.130431029635104
"104.23" 0.00962247969189955 -0.0639413896889869 -0.0300693640975436 0.0545866856532573 -0.010823353506586 0.113177961741278 0.021634135177745 0.113177961741278 6 0.0568931082785383 0.076061960020074 0.093872994254218 0.110683245128687 0.135785667106547 0.126521394720378 0.0257696998558452 0.126521394720378
"105.1" 0.0422953818015547 0.0803082912457912 0.159760512392091 0.176413255360624 0.158993031086054 -Inf NA 0.176413255360624 4 0.0534716207760249 0.0966275064200295 0.110920240974467 0.128931834849851 0.1897004465356 NA NA 0.128931834849851
"107.3" -0.0608049365135872 -0.0453420552984456 -0.155900231399074 0.166749195047664 -0.483173801471461 -0.00077281357541259 -0.00077281357541259 0.166749195047664 4 0.0515088164687282 0.0510894900273001 0.154749753213978 0.156820744112701 0.601181001527532 0.0278326742969483 0.0278326742969483 0.156820744112701
"109.29" 0.015194464222143 -0.169449600773026 -0.158515994507451 -0.141371802369934 -0.288596316772302 -0.318292726570996 -0.212413344150183 0.015194464222143 1 0.125269270496098 0.154574799204617 0.168527007924687 0.176687879236927 0.222492030898676 0.190219450668037 0.404684989287377 0.125269270496098
"109.42" 0.0019078144078144 -0.126831501831502 -0.130163817663818 -0.168269230769231 -0.250152625152625 -0.297744360902256 -0.126018518518519 0.0019078144078144 1 0.107749618388752 0.143670038011598 0.161101369408623 0.167836565434599 0.201048546675251 0.208946412636803 0.444195529181881 0.107749618388752
"109.9" -0.0868464052287583 -0.238970588235294 -0.280255991285403 -0.224046840958606 -0.253240740740741 -0.232039894031479 0.19047619047619 0.19047619047619 7 0.112732968626702 0.120601649526071 0.132542568649164 0.136487405054 0.157234390468984 0.184147546438735 0.192866169250795 0.192866169250795
"112.8" -0.06139990459801 -0.121929210758595 -0.0984385570130353 -0.132816376662882 -0.166425708271019 -0.18551257161431 -0.334643700858968 -0.06139990459801 1 0.0664581726064929 0.109968241444119 0.111711862577825 0.147199929679145 0.164469719669355 0.182299010117255 0.492325927591654 0.0664581726064929
"12.150" 0.100140301795695 0.136878725549071 0.0975586828292417 0.120991839601665 0.192490425642345 -0.752027950027735 -0.215156639373442 0.192490425642345 5 0.0881797196232598 0.10387685469265 0.127498892864041 0.156974570837474 0.170182433759594 0.731765350047172 0.248088075231187 0.170182433759594
"12.171" 0.101123794086384 0.137886895970147 0.127969873936107 0.0895038490768022 0.0806477879098778 0.16084535053957 0.0162508415085618 0.16084535053957 6 0.112531912185339 0.128825839583888 0.144315907748053 0.163287185618106 0.195106958652172 0.161942924470701 0.0305505235384983 0.161942924470701
"12.178" 0.0729995562885644 0.0838203195018474 0.0790291984405443 0.00778164306633722 -0.126141598028181 -0.0186421155141825 -0.0401158443213119 0.0838203195018474 2 0.099058874336762 0.115416419465907 0.121828942605069 0.143741501814684 0.176001105094641 0.0850211444593051 0.0409511571135605 0.115416419465907
"12.192" -0.0302393687544593 0.0311909521592684 0.0474173105960096 -0.0233396452928909 -0.622565020597061 -0.00065789473684208 0.0249999999999999 0.0474173105960096 3 0.0800553772510057 0.0981307416883752 0.11002063251544 0.17392485985259 0.429244700992512 0.0316380448864916 0.0215165741455992 0.11002063251544
"12.193" 0.198883523554225 0.268903628224858 0.347153187428493 0.442822064609178 0.283191276884415 0.0582509247640233 0.0111368873205825 0.442822064609178 4 0.0577519422590755 0.0660596105249127 0.0830608841341118 0.0895532131395076 0.145713910462056 0.0313603338785267 0.0298152634742411 0.0895532131395076
"12.286" 0.147582086439331 0.177668461043328 0.218194763584582 0.0622565994584506 0.0828890957940442 -Inf NA 0.218194763584582 3 0.0866344242301469 0.138850096473614 0.140844817475919 0.212170614265554 0.275221497076075 NA NA 0.140844817475919
"12.290" 0.089272030651341 0.0610472541507024 0.134712643678161 0.0926436781609196 0.100408684546616 0.288039121372455 0.190744215134459 0.288039121372455 6 0.0751712996781452 0.091588288735233 0.0962269086921133 0.11942442662104 0.131561959210543 0.114845042227754 0.126962016793547 0.114845042227754
"12.70" 0.131526909304687 0.0951579284912618 0.0964673186895409 0.174790230345786 0.229170006947785 0.17712962962963 -Inf 0.229170006947785 5 0.0844878789271508 0.110249329334391 0.103802853666737 0.103445404658398 0.143308367284003 0.387160390548015 NA 0.143308367284003
"12.97" -0.00500158277936058 -0.0585944919278252 -0.037733459955682 0.0136752136752137 0.0376701487812598 -0.51396706274755 -0.0271867612293144 0.0376701487812598 5 0.0650338660106411 0.0851073096442796 0.089252860651654 0.115417277632888 0.16813900911166 0.347526815252913 0.0442530874449999 0.16813900911166
"122.11" -0.195739348370927 -0.174631021999443 -0.161319966583124 -0.156808688387636 -0.143358395989975 0.307023725628377 -Inf 0.307023725628377 6 0.105722848143184 0.132563495041886 0.156712979311784 0.165081679714823 0.183199078919749 0.211618569743442 NA 0.211618569743442
