OBJECTID	COMPOUND_KEY_12	FELTNR	STATION_NAME	AREAL_NOR	AREAL_UTM33	MERKNAD	NODE_TETTH	REG_DATO	REGULERT	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	VINKEL_TERR	JORDBRUKPRO	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO	INTENS_MAX	NORM_AAR	UTMSONE_TPKT	UTM_OST_TPKT	UTM_NORD_TPKT	UTMSONE_INNL	UTM_OST_INNL	UTM_NORD_INNL	SUM_AREALPRO	VASSOMR
3965	23000001000	2177	Nordmannset	19.31	19.31	 	0	20040202	0	23.71144379	20.33	21.09916608	72	101	149	185	224	246	267	281	294	307	368	6.819945243	9.953	358.43	0	0	0	4.020318009	5.178663905	0	10.35732781	72.50129467	0	0	0	33	957461	7912528	33	958082	7915768	97.88	230
3969	9800004000	1513	Øye ndf.	138.78	138.78	 	0	20040202	0	50.11	57.58	56.66	147	428	607	765	877	982	1085	1183	1281	1408	1848	15.1	20.69	321.96	2.24	0.36	0	0.26	17.59	3.79	4.2	64.86	0	0	0	33	83112	6902020	33	86401	6897909	93.04	98
3974	2200016000	840	Myglevatn ndf.	182.2	182.2	 	0	20110715	0	6.23	20.51	11.26	252	336	371	399	424	447	471	499	525	571	741	23.75	37.55	163.75	0.39	12.07	0	1.53	63.59	0	5.5	10.98	0	0	0	33	67979	6513987	33	64293	6524145	92.53	22
3990	12200009000	1660	Gaulfoss	3086.41	3086.41	 	0	20081128	1905	6.963887676	0	7.867509183	54	436	534	598	663	735	813	878	945	1019	1325	87.09298997	116.793	0	2.66	14.53	0	0.012935526	36.72	0	2.05	35.8	0.08	0	0	0	0	0	0	0	0	91.84	122
4015	1600193000	701	Hørte	156.65	156.65	 	0	20100420	0	10.24546579	28	29.89370536	96	260	311	369	429	502	579	672	771	913	1204	17.8829416	27.19902368	157.47	1.08	2.81	0	0.27	73.05	0	3.14	18.38	0.05	0	0	33	163160	6612332	33	158078	6616123	98.51	16
4026	9100002000	1486	Dalsbøvatn	25.72	25.72	 	0	20121213	0	7.256948166	30.5	20.69714603	47	60	105	160	204	252	313	358	403	455	527	7.539096039	8.08420638	303.76	1.32	3.03	0	4.72295525	3.65	0	10.19	66.52	0.04	0	0	33	-8787	6928995	33	-5194	6926691	84.75	91
4036	15600010000	1863	Berget	210.63	210.63	 	0	20121213	1997	21.12724222	0	27.34605142	60	291	423	589	700	804	915	1021	1164	1291	1587	27.2798981	36.66671962	0	0.05	0.46	0	0.793445966	8.11	34.94	3.12	46.15	0	0	0	0	0	0	0	0	0	92.81	156
4037	13300007000	1762	Krinsvatn	206.611	206.61	 	0	20040202	0	-999	18.4	-999	87	225	266	297	324	348	369	390	415	455	627	22.86862608	-999	316.45	0.35	8.98	0	1.065189722	20.19	0	7.56	57.01	0	0	0	33	273587	7087014	33	285473	7092792	94.09	133
4054	7200005000	1239	Brekke bru	268.16	268.16	 	0	20090914	1932	30.69	36.62	32.33	16	808	1007	1125	1211	1273	1327	1381	1444	1508	1761	30.45	48.69	264.41	0.29	0.46	0	0.739051662	11.27	3.07	4.18	77.15	0	0	0	33	75903	6757371	33	88522	6749920	96.42	72
4064	200463000	270	Vismunda	190.65	190.65	 	0	20140220	0	18.02	12.07	17.51	188	466	562	630	661	689	716	740	788	850	1066	32.22	40.33	181.1	3.18	18.49	0	0.03	73.9	0	1.6	0.72	0	0	0	33	245363	6772982	33	235665	6787105	97.89	2
4066	4600009000	1081	Fønnerdalsvatn	7.01	7.01	 	0	20110304	0	313.53	40.83	238.05	590	859	1094	1174	1287	1371	1423	1470	1521	1560	1621	4.965957816	2.27	273.23	0	0	0	1.815909995	2	47.36	3.99	46.65	0	0	0	33	15770	6688790	33	15302	6689081	100	46
4092	13900035000	1796	Trangen	852.39	852.39	 	0	20100812	0	5.985225813	0	9.228785537	138	384	429	485	525	558	596	640	697	780	1384	74.68013231	92.44986749	0	0.46	13.56	0	2.091376821	42.11	0	9.34	29.23	0.01	0	0	0	0	0	0	0	0	94.71	139
4103	11200008000	1602	Rinna	86.23	86.23	 	0	20090928	0	-999	23.14	-999	467	604	667	730	780	814	869	939	1041	1165	1587	14.07040434	-999	310.29	0	6.85	0	0.583019944	15.11	0.44	3.05	64.1	0	0	0	33	214262	6989026	33	211191	6983753	89.55	112
4104	13900015000	1780	Bjørnstad	1036.201311	1037.62	 	0	20131204	1951	8.539937303	0	9.250275954	225	451	500	567	631	700	764	836	918	1016	1675	42.94892232	83.99749412	0	0.08	5.66	0	2.849340415	19.25	0.14	9.79	55.57	0	0	0	0	0	0	0	0	0	90.49	139
4162	16200003000	1932	Skarsvatn	145.39	145.39	 	0	20100921	0	15.6	0	14.62	162	287	373	431	475	520	556	576	600	630	831	18.32142403	29.78	0	1.04	6.03	0	0.762415072	44.13	0	6.16	35.27	0.04	0	0	0	0	0	0	0	0	92.67	162
4170	1500053000	589	Borgåi	94.07	94.07	 	0	20110304	0	-999	19.06	-999	770	882	920	956	989	1011	1047	1090	1137	1176	1310	15.92780503	-999	166.44	0.26	11.26	0	0.4065398	46.68	0	4.26	29.01	0	0	0	33	168948	6708909	33	166233	6715995	91.47	15
4194	1800010000	718	Gjerstad	236.23	236.23	 	0	20110316	0	-999	23.43	-999	50	148	197	237	274	313	346	380	415	473	657	21.15292672	-999	141.05	1.4	4.87	0	0.193032146	81.76	0	3.45	2.9	0.07	0	0	33	149568	6549060	33	141720	6552343	94.45	18
4195	10300001000	1532	Storhølen	435.51	435.51	 	0	20090929	0	14.42766564	28.48	21.69401092	489	895	1068	1169	1234	1301	1359	1421	1496	1592	1990	25.36597957	31.23628436	330.83	0.2	1	0	0.171320957	10.5	3.1	3.92	80.1	0	0	0	33	133219	6920405	33	118484	6925173	98.82	103
4241	800002000	365	Bjørnegårdsvingen	190.19	190.19	 	0	20121213	0	19.52268942	20.24	19.1240113	5	121	197	262	308	341	372	399	436	493	680	25.32025379	24.72336963	181.94	6.06	2.9	0	0.065014911	82.97	0	1.72	0	3.97	0	0	33	244960	6659313	33	245812	6672766	97.61	8
4244	12200017000	1666	Hugdal Bru	546.17	546.17	 	0	20040202	0	21.06910011	0	22.19789715	130	443	503	543	583	623	664	718	816	933	1256	0	44.99480257	0	5.99	16.7	0	0.01	53.59	0	1	20.69	0.06	0	0	0	0	0	0	0	0	98.03	122
4253	16300005000	1938	Junkerdalselv	314.0505664	421.98	 	0	20111209	0	25.87418961	0	24.53600887	117	486	620	691	752	834	943	1042	1139	1234	1695	29.78379456	40.4006212	0	0.39	0.68	0	0.017222991	18.29	0.55	2.08	66.89	0	0	0	0	0	0	0	0	0	88.88	163
4266	20000004000	2101	Skogsfjordvatn	136.01	136.01	 	0	20100701	0	27.48	26.84	21.06	19	20	84	139	195	243	280	353	450	574	1047	17.28	20.42	302.31	0.42	1.29	0	10.12	21.25	0	14.8	49.73	0	0	0	33	659687	7763394	33	660738	7755119	87.49	200
4277	5500004000	1136	Røykenes	50.09	50.09	 	0	20110304	0	27.55	43.36	43.81	53	78	127	189	257	307	363	452	552	665	960	15.92	18.5	267.09	0.46	0.76	0	2.24	52.16	0	3.9	31.66	0.22	0	0	33	-22876	6724800	33	-17904	6730128	89.16	55
