"stSamletID" "stID" "stNavn" "coords.x1" "coords.x2" "coords.x3" "optional"
"18227" "007500023000" "75.23.0" "Krokenelv" 93991 6825127 0 TRUE
"4612" "007600005000" "76.5.0" "Nigardsbrevatn" 89910 6861527 0 TRUE
"1858" "007700003000" "77.3.0" "Sogndalsvatn" 72486 6822181 0 TRUE
"32" "007800008000" "78.8.0" "Bøyumselv" 60541 6840653 0 TRUE
"968" "007900003000" "79.3.0" "Nessedalselv" 31630 6811910 0 TRUE
"2648" "008200004000" "82.4.0" "Nautsundvatn" -14569 6828940 0 TRUE
"12441" "008300002000" "83.2.0" "Viksvatn (Hestadfjorden)" 13361 6833950 0 TRUE
"6851" "008400011000" "84.11.0" "Hovefoss" 9392 6857051 0 TRUE
"2783" "008600012000" "86.12.0" "Skjerdalselv" 23471 6886968 0 TRUE
"19528" "008700010000" "87.10.0" "Gloppenelv v/Bergheim" 52688 6872059 0 TRUE
"20953" "008800004000" "88.4.0" "Lovatn" 74031 6885087 0 TRUE
"15248" "009100002000" "91.2.0" "Dalsbøvatn" -10883 6931180 0 TRUE
"1967" "009700001000" "97.1.0" "Fetvatn (Fitjavatnet)" 65357 6939537 0 TRUE
"6162" "009800004000" "98.4.0" "Øye ndf." 79110 6908022 0 TRUE
"4958" "010300001000" "103.1.0" "Ulvåa v/Storhølen" 143336 6924423 0 TRUE
"18875" "010300040000" "103.40.0" "Rauma v/Horgheim" 128391 6947792 0 TRUE
"13776" "010400023000" "104.23.0" "Vistdal" 140290 6971583 0 TRUE
"2150" "010500001000" "105.1.0" "Osenelv v/Øren" 129534 6983503 0 TRUE
"13094" "010700003000" "107.3.0" "Farstadelva v/Farstad" 103328 7006875 0 TRUE
"9947" "010900009000" "109.9.0" "Driva v/Risefoss" 221773 6942810 0 TRUE
"14311" "010900029000" "109.29.0" "Dalavatn" 178746 6957484 0 TRUE
"4072" "010900042000" "109.42.0" "Driva v/Elverhøy bru" 177136 6962257 0 TRUE
"10106" "011200008000" "112.8.0" "Rinna" 216824 6996240 0 TRUE
"12351" "012100020000" "121.20.0" "Åmot" 238900 7011786 0 TRUE
"4645" "012200009000" "122.9.0" "Gaulfoss" 259399 7006617 0 TRUE
"5297" "012200011000" "122.11.0" "Eggafoss" 306061 6979097 0 TRUE
"12617" "012200017000" "122.17.0" "Hugdal bru" 259333 6993830 0 TRUE
"7370" "012300031000" "123.31.0" "Kjeldstad i Garbergelva" 305905 7021101 0 TRUE
"16415" "012400002000" "124.2.0" "Høggås bru" 318730 7045669 0 TRUE
"11119" "012700011000" "127.11.0" "Veravatn" 368281 7076298 0 TRUE
"7078" "012700013000" "127.13.0" "Dillfoss" 340492 7074780 0 TRUE
"8409" "013300007000" "133.7.0" "Krinsvatn (Kringsvatnet)" 265316 7083953 0 TRUE
"4675" "013800001000" "138.1.0" "Øyungen" 310110 7130031 0 TRUE
"12337" "013900015000" "139.15.0" "Bjørnstad" 417933 7211568 0 TRUE
"16436" "013900035000" "139.35.0" "Trangen" 378745 7147388 0 TRUE
"10566" "014800002000" "148.2.0" "Mevatnet" 385514 7251430 0 TRUE
"13786" "015100015000" "151.15.0" "Nervoll" 452970 7257601 0 TRUE
"15797" "015200004000" "152.4.0" "Fustvatn" 422910 7310387 0 TRUE
"13056" "015600010000" "156.10.0" "Berget" 450012 7371267 0 TRUE
"2189" "015700003000" "157.3.0" "Vassvatn" 418712 7364857 0 TRUE
"14903" "016000007000" "160.7.0" "Skauvoll" 460032 7429497 0 TRUE
"17956" "016100007000" "161.7.0" "Tollåga" 493632 7419897 0 TRUE
"2264" "016200003000" "162.3.0" "Skarsvatn" 499195 7440743 0 TRUE
"1198" "016300005000" "163.5.0" "Junkerdalselv" 518043 7410794 0 TRUE
"13222" "016500006000" "165.6.0" "Strandå" 494743 7491501 0 TRUE
"16884" "016800002000" "168.2.0" "Mørsvik bru" 536966 7511430 0 TRUE
"14532" "017300008000" "173.8.0" "Coarveij" 620954 7547565 0 TRUE
