"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_roc" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "Sig_all"
"103.1" 0.607368421052632 0.651578947368421 0.701052631578947 0.681052631578947 0.72 0.845141700404858 0.86965811965812 0.86965811965812 7 0.114553456434607 0.0436463593427472 0.0115778119480976 0.0205242927645388 0.00639175645183574 3.91378628430911e-05 0.00122142592801678 0.00122142592801678
"103.40" 0.687928669410151 0.67764060356653 0.707818930041152 0.689986282578875 0.727709190672154 0.729411764705882 0.779591836734694 0.779591836734694 7 0.00899388582908726 0.0127191743311137 0.00447653183590263 0.00842954842961574 0.00207639562843945 0.0026352813835012 0.0112961527961795 0.0112961527961795
"104.23" 0.625541125541126 0.519607843137255 0.536764705882353 0.740196078431373 0.78 0.732638888888889 0.526315789473684 0.78 5 0.153166715676365 0.447145051883053 0.395281246845518 0.0328201887959059 0.0233630271174143 0.0663374509070087 0.461091552749049 0.0233630271174143
"105.1" 0.552469135802469 0.616239316239316 0.630393996247655 0.63107822410148 0.682291666666667 0 0 0.682291666666667 5 0.267566413110289 0.0954039444307486 0.079380241774559 0.0927752950814987 0.068010873491389 0 0 0.068010873491389
"107.3" 0.39781746031746 0.540650406504065 0.459239130434783 0.755208333333333 0.704081632653061 0.479591836734694 0.479591836734694 0.755208333333333 4 0.87510794095131 0.354559490138092 0.61368281977071 0.11471162237477 0.249393115453984 0.620268567310033 0.620268567310033 0.11471162237477
"109.29" 0.509404388714734 0.495297805642633 0.54858934169279 0.564263322884012 0.544540229885057 0.645238095238095 0.975 0.975 7 0.469783274588799 0.524174903124666 0.324494814326284 0.272151867839915 0.333198305438329 0.134032027062935 0.0480674673637822 0.0480674673637822
"109.42" 0.573632538569425 0.563113604488078 0.577138849929874 0.58765778401122 0.58976157082749 0.584821428571429 0.7225 0.7225 7 0.1810993945612 0.217949474659013 0.169902096659358 0.138846009621088 0.132869428071584 0.176355726710633 0.0621083081617628 0.0621083081617628
"109.9" 0.618620689655172 0.493103448275862 0.51448275862069 0.532413793103448 0.577931034482759 0.607518796992481 0.825 0.825 7 0.0687634844164364 0.538105526499467 0.431047377610592 0.344793906779995 0.165339380870547 0.0987593976904988 0.0140106742625727 0.0140106742625727
"112.8" 0.445161290322581 0.412903225806452 0.426339285714286 0.513392857142857 0.571428571428571 0.58974358974359 0.477777777777778 0.58974358974359 6 0.729323288819533 0.832192377050848 0.788800116003235 0.44761773783447 0.22466535344629 0.231203743559854 0.545317377807316 0.231203743559854
"12.150" 0.695767195767196 0.761022927689594 0.734567901234568 0.727513227513227 0.724867724867725 0.622222222222222 0 0.761022927689594 2 0.0107104465494721 0.00106153323493654 0.00291073534207321 0.00374779919481067 0.00390558326143519 0.238650806250889 0 0.00106153323493654
"12.171" 0.75 0.787272727272727 0.789090909090909 0.761818181818182 0.815454545454545 0.529069767441861 0.3 0.815454545454545 5 0.00171761360595986 0.000386497196699778 0.000358558910924181 0.00108893370194517 0.000110268029914035 0.425037475653109 0.863923963716038 0.000110268029914035
"12.178" 0.624069478908189 0.630272952853598 0.655086848635236 0.646401985111663 0.599255583126551 0.409375 0.238095238095238 0.655086848635236 3 0.1010063111088 0.0903320829921865 0.0550758819143466 0.0659723343965683 0.153673343808602 0.738056224269413 0.915534472174735 0.0550758819143466
"12.192" 0.151785714285714 0.295454545454545 0.391176470588235 0.432142857142857 0.645833333333333 0.5 0.5 0.645833333333333 5 0.998393011812376 0.946373326773399 0.790043236692664 0.680718949044485 0.162943825771086 1 1 0.162943825771086
"12.193" 0.768518518518519 0.781481481481481 0.825925925925926 0.812962962962963 0.723790322580645 0.542857142857143 0.260714285714286 0.825925925925926 3 0.00807281970281873 0.00586586666122272 0.0017497778250274 0.00244543684079506 0.0273591079647016 0.397209411518245 0.959993423709535 0.0017497778250274
"12.286" 0.690972222222222 0.774305555555555 0.817708333333333 0.791666666666667 0.867307692307692 0 0 0.867307692307692 5 0.0333283318780488 0.00412568543343926 0.00107745481249235 0.00244188636484523 0.000291376436275239 0 0 0.000291376436275239
"12.290" 0.61203007518797 0.659398496240602 0.754135338345865 0.746616541353383 0.730827067669173 0.721428571428571 0.531914893617021 0.754135338345865 3 0.0885594658192212 0.0278740394934637 0.00112351577313521 0.0015221685422839 0.00277186690195589 0.00720611219989662 0.395339739852156 0.00112351577313521
