"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_Reff" "Month"
"103.1" 0.0847322021248279 0.0470369093865768 0.0478671315575689 0.102199988570477 0.147326060758194 0.459856104729262 0.428898415577524 0.459856104729262 6
"103.40" 0.0796346992048 -0.0240473305753353 0.0676288518075462 0.0277744864792656 0.084594729678071 0.3066942742234 0.410894683170083 0.410894683170083 7
"104.23" -0.0212310185202169 -0.167157852024624 -0.116685496440958 -0.0443674272952146 0.0785687392172707 0.0882583443839836 0.0874099892033422 0.0882583443839836 6
"105.1" -0.23045625789545 -0.329543937524215 -0.357887864509129 -0.00119190593951712 -0.509412770936667 -14.3738381234037 -52.556202544205 -0.00119190593951712 4
"107.3" -0.132818842807692 -0.0544719592042651 -0.0729473083592977 0.221394010518418 -0.105726401574034 -0.228244683375507 -0.686432927359106 0.221394010518418 4
"109.29" -0.0831180248112282 -0.19877780968025 -0.315905003516737 -0.344058397826766 -0.584358594914318 -0.104256596242745 -0.368692345897686 -0.0831180248112282 1
"109.42" -0.302444299774847 -0.47569285680529 -0.456650908427816 -0.528910285291011 -0.771375914869443 -0.592322421863428 0.289376744432824 0.289376744432824 7
"109.9" -0.277654286136632 -0.524690412986629 -0.520455307301346 -0.529997236936808 -0.687014759875942 -0.484877036106066 -0.835741956099226 -0.277654286136632 1
"112.8" -0.198868997940944 -0.244958424318756 -0.31382601327333 -0.375063817283597 -0.261147270450698 -0.071330571064397 -0.0919215262900128 -0.071330571064397 6
"12.150" 0.242420678166543 0.312991152041547 0.296915278694725 0.259805019470294 0.235741867945464 -0.126105973749638 -0.0713222717656854 0.312991152041547 2
"12.171" 0.224674028453442 0.221431589840249 0.246553051070488 0.21109561746801 0.0604767113836736 0.12944017278202 0.100621886332241 0.246553051070488 3
"12.178" -0.00600933510508317 -0.0400403664035611 -0.00718542857558591 -0.0897338031247477 -0.26077562030449 -0.252220801478126 -0.376017590292207 -0.00600933510508317 1
"12.192" -0.162055429470717 -0.0637129329574497 -0.115112613823352 -0.135803678613148 0.0511181214750394 -0.0700495653446656 -0.0543837680771109 0.0511181214750394 5
"12.193" 0.102326104236927 0.138174623893979 0.163638294277084 -0.072895400340679 -0.361333759836306 -0.317157818291948 -0.499526735235571 0.163638294277084 3
"12.286" 0.303024500238514 0.393086601689487 0.491275358877106 0.401284052352327 0.507576976075739 -3.17132637474294 -2.52406835340014 0.507576976075739 5
"12.290" -0.0292066432314884 -0.00339171464693733 0.115280008581597 0.0220757170543243 -0.136440766625548 0.00496679774505815 -0.145739909147661 0.115280008581597 3
"12.70" 0.13430468108979 0.112896788545363 0.137760914726099 0.155833529513286 0.139461722289503 0.433503774290374 -0.754442184851868 0.433503774290374 6
"12.97" 0.00449086437738644 -0.00954351347542648 0.0621688513770169 0.057585231988326 0.0355110910214147 0.115140114055391 0.0585430303159271 0.115140114055391 6
"122.11" -0.30624085872173 -0.59351811379111 -0.674328333579947 -0.633061730907334 -0.374125774158921 0.0922817034126195 -2.27650400511707 0.0922817034126195 6
"122.17" -0.024358670024867 0.0623126136911007 0.0715043578337312 0.0114939213681088 0.0461263946291578 -0.180377722310117 -0.422387350765081 0.0715043578337312 3
"122.9" -0.235003858892688 -0.391568450797607 -0.306075028842271 -0.27731201065991 -0.0097221915967558 0.100547235800767 -0.431004283970863 0.100547235800767 6
"123.31" -0.450775417318255 -0.508962202364506 -0.743729736979281 -1.13935575534576 -1.09377844855573 -0.762367048492175 -0.471818740187044 -0.450775417318255 1
"124.2" -0.209652879447322 -0.293546480634288 -0.46497815405968 -0.690240712079246 -0.476094509132441 -0.984327063814318 -0.333620160591446 -0.209652879447322 1
"127.11" -0.307470206013213 -0.219097578928586 -0.345336467761592 -0.284983051566904 -0.239451043205642 0.409658103541051 -0.422908192281154 0.409658103541051 6
"127.13" 0.0580817758693554 0.248182544121828 0.015124623526653 0.141759185261772 0.269516705046544 -0.34001103107301 -0.199538633692213 0.269516705046544 5
"133.7" -0.127331219849429 0.061368696266814 0.0197139855556547 0.0870783578898228 0.146632434502023 -0.221292823780998 0.0277136451530233 0.146632434502023 5
"138.1" -0.0356788407567643 0.116847345625831 0.0282320805108492 0.184154147985842 0.0899857346510224 -0.591537929472689 -1.32393936726676 0.184154147985842 4
"139.15" -0.157216611722488 -0.363801301792172 -0.268997158072114 -0.191275594656358 -0.267653658885396 -0.254719836312433 -0.732017589371569 -0.157216611722488 1
"139.35" 0.0350222260672163 -0.0741973828393074 -0.0415160499777623 0.0288322694746409 -0.163971494638232 0.275515127190996 -0.246170174121471 0.275515127190996 6
"148.2" -0.0812692325294899 -0.051454561154368 0.0889037981411537 0.208564387563698 0.215934768575156 -0.0165243436701084 0.12660551649254 0.215934768575156 5
"15.21" -0.200917205570254 -0.164006951756771 -0.133677452091832 -0.220166227284631 -0.113404973802312 -0.310817665136111 -0.327149779739746 -0.113404973802312 5
"15.49" 0.111149495194538 0.134384128508295 0.163182851486153 0.120994116857917 -0.095908073358395 0.23915308903189 0.0145165332834036 0.23915308903189 6
"15.53" 0.104083179122733 -0.00147531111378951 -0.006059626306397 -0.0494791530967795 -0.189280980075399 0.0418839900897691 -0.323117908866966 0.104083179122733 1
