"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_corr" "Month" "R_sig"
"103.1" 0.351746509156661 0.400602412123623 0.432061011414974 0.500847795307125 0.537415532224752 0.70951204129061 0.656920428914884 0.70951204129061 6 0.382616137913506
"103.40" 0.382616137913506 0.36525331436833 0.434099004526421 0.466304318116897 0.495621806107966 0.616989077572384 0.691243095995907 0.691243095995907 7 0.22621727456275
"104.23" 0.104117815718508 0.0132178877407181 0.084321631151481 0.241740982542191 0.449807218955938 0.365228992131821 0.269638914613671 0.449807218955938 5 0.382616137913506
"105.1" 0.179159389702411 0.223228669593552 0.17488588003636 0.563992142547562 0.503195336327135 0.386807307452873 0.423206154710745 0.563992142547562 4 0.22621727456275
"107.3" -0.417042856366882 -0.0103575610475182 0.0157079212069709 0.454573500718524 0.144231742121427 -0.237687007690894 0.136943264101491 0.454573500718524 4 0.382616137913506
"109.29" 0.223033325783556 0.236794760875443 0.232556990338377 0.297596386930641 0.319950765108793 0.493992114642869 0.514152220738009 0.514152220738009 7 0.22621727456275
"109.42" 0.0701054924105615 0.120240917053662 0.139801681323231 0.219492324082097 0.194926086616614 0.348731775326085 0.586969754711873 0.586969754711873 7 0.382616137913506
"109.9" -0.0234388072359585 -0.134022577174958 -0.086946717227411 -0.0113358859551673 0.0362521521800382 0.286392132141249 0.574410121422049 0.574410121422049 7 0.22621727456275
"112.8" -0.0131204456087333 -0.00271917564654262 -0.0160594271649745 0.0616780409439143 0.253681387306773 0.338913938093377 0.315255366328006 0.338913938093377 6 0.382616137913506
"12.150" 0.480864684140001 0.547315505990853 0.542324465623511 0.541752861068005 0.607201595422921 0.590991050212912 0.224440099841071 0.607201595422921 5 0.22621727456275
"12.171" 0.46254917709765 0.463203804211263 0.493465277749462 0.501239078553402 0.533031490629002 0.394685678204111 0.339991802349016 0.533031490629002 5 0.382616137913506
"12.178" 0.215861917253811 0.186803383248774 0.240289993826912 0.221957930822244 0.178870957061015 0.335904182868501 0.132569049510212 0.335904182868501 6 0.22621727456275
"12.192" -0.0570983452299508 0.216523338324791 0.246273483926871 0.259759801273882 0.430827597024213 0.208696023028863 0.254371759440952 0.430827597024213 5 0.382616137913506
"12.193" 0.311095947872851 0.368501468372811 0.430300296907011 0.381463175709113 0.334973798643549 0.269234968933379 0.127072951918763 0.430300296907011 3 0.22621727456275
"12.286" 0.548105446373593 0.625505284674445 0.699920335403187 0.701680528697901 0.811260046582981 0.351735595343879 0.471611610834963 0.811260046582981 5 0.382616137913506
"12.290" 0.214414512030305 0.22929617820021 0.3596821436904 0.320249548799384 0.31555933453916 0.451811177912548 0.422794576381202 0.451811177912548 6 0.22621727456275
"12.70" 0.352377735677807 0.334153220682095 0.368447932693513 0.412827106334091 0.500349594847947 0.715728538077129 0.290784105016785 0.715728538077129 6 0.382616137913506
"12.97" 0.177517022185076 0.170636732470339 0.278682269683674 0.290424764110538 0.324228809817922 0.447560594666602 0.217430422940896 0.447560594666602 6 0.22621727456275
"122.11" -0.0327411727978641 -0.114899766577442 -0.0609077615778105 0.0445907530887853 0.295331510771092 0.677363091719271 0.212894927737682 0.677363091719271 6 0.382616137913506
"122.17" 0.315138724093896 0.379954690961922 0.433069964212498 0.426268954703892 0.565502884927985 0.398451917506301 -0.202768335936726 0.565502884927985 5 0.22621727456275
"122.9" -0.0428977750926636 -0.0219407469512992 0.136404703053 0.22689537875216 0.460912831776347 0.531393634838695 0.158054666066802 0.531393634838695 6 0.382616137913506
"123.31" -0.02807551344451 0.0432115436728411 0.0129210427496435 0.0210351465915722 0.187495704575539 0.210026806438864 -0.125197369117535 0.210026806438864 6 0.22621727456275
"124.2" 0.113629074193827 0.25614931018571 0.193113302137075 0.268197052247338 0.563519658856247 0.393363592082271 -0.0145696210768414 0.563519658856247 5 0.382616137913506
"127.11" -0.0716204121421726 0.162340457364368 0.139294403763385 0.255999999854187 0.371288378942334 0.706337515428712 0.376229478605002 0.706337515428712 6 0.22621727456275
"127.13" 0.19452588979781 0.513887132018191 0.318428491952647 0.49960331084999 0.62932392692163 0.156426545043333 -0.204682639520541 0.62932392692163 5 0.382616137913506
"133.7" -0.0692846467372828 0.35652641735294 0.145311240741947 0.279010034490686 0.565928028866464 0.0204876611344716 0.173323574499226 0.565928028866464 5 0.22621727456275
"138.1" 0.0118579692482073 0.38579061212998 0.209525163933833 0.464826974579833 0.611804562394948 0.157367854112365 0.410082235659755 0.611804562394948 5 0.382616137913506
"139.15" 0.115437651643137 0.131678708730258 0.226700279358569 0.308577340426518 0.267064947151351 0.378146272121582 0.524644804951769 0.524644804951769 7 0.22621727456275
"139.35" 0.303474912237223 0.323214983691513 0.412839871460591 0.472856509109498 0.503855009289912 0.725096107180519 0.346578832810443 0.725096107180519 6 0.382616137913506
"148.2" -0.359701509191671 0.0630380234058749 0.260004467407695 0.439211489510767 0.495308585200579 0.622243379601458 0.429586702231845 0.622243379601458 6 0.22621727456275
"15.21" 0.0754450251475261 0.156613674762696 0.247963267908975 0.271714682551529 0.396426130016298 0.242592507481985 0.0734407664635491 0.396426130016298 5 0.382616137913506
